"state","abbr","ro"
"Alabama","AL","Southeast"
"Alaska","AK","Western"
"American Samoa ","AS","Western"
"Arizona","AZ","Western"
"Arkansas","AR","Southeast"
"California","CA","Western"
"Colorado","CO","Central"
"Connecticut","CT","Northeast"
"Delaware","DE","Mid-Atlantic"
"District of Columbia","DC","Mid-Atlantic"
"Florida","FL","Southeast"
"Georgia","GA","Southeast"
"Guam ","GU","Western"
"Hawaii","HI","Western"
"Idaho","ID","Western"
"Illinois","IL","Midwest"
"Indiana","IN","Midwest"
"Iowa","IA","Midwest"
"Kansas","KS","Central"
"Kentucky","KY","Southeast"
"Louisiana","LA","Central"
"Maine","ME","Northeast"
"Maryland","MD","Mid-Atlantic"
"Massachusetts","MA","Northeast"
"Michigan","MI","Midwest"
"Minnesota","MN","Midwest"
"Mississippi","MS","Southeast"
"Missouri","MO","Midwest"
"Montana","MT","Central"
"Navajo Nation ","NN","Western"
"Nebraska ","NE","Central"
"Nevada ","NV","Western"
"New Hampshire ","NH","Northeast"
"New Jersey ","NJ","Mid-Atlantic"
"New Mexico ","NM","Central"
"New York ","NY","Northeast"
"North Carolina ","NC","Southeast"
"North Dakota ","ND","Central"
"North Marianas","NM","Western"
"Ohio ","OH","Midwest"
"Oklahoma ","OK","Central"
"Oregon ","OR","Western"
"Palau ","PW","Western"
"Pennsylvania ","PA","Mid-Atlantic"
"Puerto Rico ","PR","Southeast"
"Rhode Island ","RI","Northeast"
"South Carolina ","SC","Southeast"
"South Dakota","SD","Central"
"Tennessee ","TN","Southeast"
"Texas","TX","Central"
"Utah ","UT","Central"
"Vermont","VT","Northeast"
"Virgin Islands","VI","Southeast"
"Virginia ","VA","Mid-Atlantic"
"Washington ","WA","Western"
"West Virginia ","WV","Mid-Atlantic"
"Wisconsin ","WI","Midwest"
"Wyoming ","WY","Central"
